,beta
GDP_reporter_lag1,0.03515269700245147
GDP_reporter_lag2,-0.0100190702475066
GDP_reporter_lag3,0.05360011799150012
GDP_reporter_lag4,-0.009273727480341951
GDP_reporter_lag5,-0.05801214935425379
GDP_partner_lag1,0.002690201609170552
GDP_partner_lag2,0.006626707451446399
GDP_partner_lag3,-0.0037442669044185158
GDP_partner_lag4,-0.007292954011353528
GDP_partner_lag5,-0.0181074811533536
sanction_lag1,-0.0010180008336362564
sanction_lag2,0.003171590351375363
sanction_lag3,0.0030852607397124
sanction_lag4,-0.0003160649234234151
sanction_lag5,0.007652941431089432
contig,-0.2494551414189917
comlang_off,0.02229906896987398
colony,-0.09917683664199674
smctry,0.075354234569772
distw,0.0033111565797474957
EXPORT_lag1,0.2032536075000324
